Unnamed: 0,word,meaning
296,more than you bargained for,"something different from what you expected, especially something worse"
297,vivid,having or producing very clear and detailed images in the mind
298,makeshift,"Temporary and of low quality, but used because of a sudden need."
299,straggle,To move or spread untidily and in small numbers or amounts.
300,quandary,A state of not being able to decide what to do about a situation in which you are involved.
301,doggone,Used to express anger.
302,usher,"To show someone where they should go, or to make someone go where you want them to go."
303,bemused,Slightly confused.
304,roll with the punches,to be able to deal well with difficulties or criticism
305,saunter,"To walk in a slow and relaxed way, often in no particular direction."
306,whim,"A sudden wish or idea, especially one that cannot be reasonably explained."
307,traipse,"To walk from one place to another, often feeling tired or bored."
308,glance,To give a quick short look.
309,decide against,to not choose someone or something
310,bursary,"An amount of money given to a person by an organization, such as a university, to pay for them to study."
311,inference,A guess that you make or an opinion that you form based on the information that you have.
312,affiliation,"A connection with a political party or religion, or with a larger organization."
313,startling,Surprising and sometimes worrying.
314,intertwine,"To twist or be twisted together, or to be connected so as to be difficult to separate."
315,frailty,Weakness and lack of health or strength.
316,take something with a pinch of salt,to listen to a story or an explanation with considerable doubt.
317,cranial,Of the skull.
318,sole,Being one only; single.
319,compliance,"The act of obeying an order, rule, or request."
320,corroborate,"To add proof to an account, statement, idea, etc. with new information."
321,amend,"to make changes to a document, law, agreement etc, especially in order to improve it"
322,disseminate,"To spread or give out something, especially news, information, ideas, etc., to a lot of people."
323,contiguous,"Next to or touching another, usually similar, thing."
324,pitfall,A likely mistake or problem in a situation.
325,bifurcate,"(of roads, rivers, branches, etc.) to divide into two parts."
326,confound,"To confuse and very much surprise someone, so that they are unable to explain or deal with a situation."
327,regime,"a government that controls a country, especially in a strict or unfair way"
328,extant,Describes something very old that is still existing.
329,clutch,"To take or try to take hold of something tightly, usually in fear, worry, or pain."
330,unfathomable,Impossible to understand.
331,complacent,Feeling so satisfied with your own abilities or situation that you feel you do not need to try any harder.
332,errant,"Behaving wrongly in some way, especially by leaving home."
333,retrograde,"Returning to older and worse conditions, methods, ideas, etc.."
334,ill-fated,"Unlucky and unsuccessful, often resulting in death."
335,hell-bent,Impetuously or recklessly determined to do or achieve something.
336,hallmark,a typical feature
337,deprive,"To take something, especially something necessary or pleasant, away from someone."
338,wary,Not completely trusting or certain about something or someone.
339,beady,"(of eyes) small and bright, especially like a bird's eyes."
340,ingrained,(of beliefs) so firmly held that they are not likely to change.
341,outspoken,Expressing strong opinions very directly without worrying if other people are offended.
342,exasperation,the feeling of being extremely annoyed and impatient because things are not happening in the way that you want them to happen
343,excel,To be extremely good at something.
344,juncture,A particular point in time.
345,impute,"to lay blame to, attribute, ascribe or credit"
346,lineage,"the people in your family who lived in the past, especially when you come from a rich or important family"
347,contention,The disagreement that results from opposing arguments.
348,aberrant,"Different from what is typical or usual, especially in an unacceptable way."
349,penalize,To cause someone a disadvantage.
350,snap,To cause something that is thin to break suddenly and quickly with a cracking sound.
351,reel,"To stagger, lurch, or sway, as from drunkenness."
352,soar,To rise very quickly to a high level.
353,spate,"A larger number of events than usual, especially unpleasant ones, happening at about the same time."
354,open-ended,"An activity or situation does not have a planned ending, so it may develop in several ways."
355,crackdown,strong action that someone in authority takes to stop a particular activity
356,bull-run,A bull market or a bull run refers to a stock market characterized by a sustained rise in share prices.
357,incur,"To experience something, usually something unpleasant, as a result of actions you have taken."
358,savvy,the ability to understand and judge people and situations well
359,benchmark,A level of quality that can be used as a standard when comparing other things.
360,tread,to walk or step on something
361,taint,"To spoil something, especially food or blood, by adding a harmful substance, or to spoil people's opinion of someone."
362,knotty,(of a problem or difficulty) complicated and difficult to solve.
363,malfeasance,"An example of dishonest and illegal behaviour, especially by a person in authority."
364,root out,to find something bad or illegal and get rid of it
365,elusive,"Difficult to describe, find, achieve, or remember."
366,chock-full,"very full, especially with things that are pleasant or enjoyable"
367,myriad,A very large number of something.
368,daunting,Making you feel slightly frightened or worried about your ability to achieve something.
369,cater,"To provide, and sometimes serve, food."
370,deem,To consider or judge something in a particular way.
371,excursion,"A short journey usually made for pleasure, often by a group of people."
372,organic,organic food or drink is produced without using artificial chemicals
373,perimeter,The outer edge of an area of land or the border around it.
374,hover,"To stay in one place in the air, usually by moving the wings quickly."
375,one-off,Something that happens or is made or done only once.
376,unrest,Disagreements or fighting between different groups of people.
377,vet,to check someone's character or reputation to find out if they are suitable for a particular job
378,trawl,"to look for someone or something, for example by searching through a large amount of information"
379,peg,"A small stick or hook that sticks out from a surface and from which objects, especially clothes, can hang."
380,acquisition,The process of getting something.
381,benign,Pleasant and kind.
382,grapple,"To fight, especially in order to win something."
383,swell,To become larger and rounder than usual; to (cause to) increase in size or amount.
384,reciprocate,"To share the same feelings as someone else, or to behave in the same way as someone else."
385,undercut,To charge less than a competitor.
386,onset,"the beginning of something, especially something bad"
387,niche,"A job or position that is very suitable for someone, especially one that they like."
388,leverage,the power to make someone do what you want
389,par,The same as or equal to someone or something.
390,requisite,Necessary or needed for a particular purpose.
391,echelon,A particular level or group of people within an organization such as an army or company.
392,seasoned,Having a lot of experience of doing something and therefore knowing how to do it well.
393,recede,to move back from a high point or level
394,commensurate,In a correct and suitable amount compared to something else.
395,tenant,A person who pays rent for the use of land or a building.
396,elastic,Describes material that is able to stretch and be returned to its original shape or size.
397,arbitrary,Based on chance rather than being planned or based on reason.
398,taxing,Difficult or needing a lot of thought or effort.
399,substitute,To use something or someone instead of another thing or person.
400,resemble,To look like or be like someone or something.
401,cram,To force a lot of things into a small space.
402,albeit,Although.
403,omit,To fail to include or do something.
404,latter,"used for referring to the second of two people, things, or groups that have just been mentioned"
405,mnemonic,Something such as a very short poem or a special word used to help a person remember something.
406,chore,A job or piece of work that is often boring or unpleasant but needs to be done regularly.
407,auxiliary,Acting as a subsidiary; supplementary
408,impending,"Describes an event, usually something unpleasant or unwanted, that is going to happen soon."
409,stratum,One of the parts or layers into which something is separated.
410,spare,"If something is spare, it is available to use because it is extra."
411,span,To extend across in space or time.
412,relay,"To repeat something you have heard, or to broadcast a signal, message, or programme on television or radio."
413,harrowing,Extremely upsetting because connected with suffering.
414,prevalent,Existing very commonly or happening often.
415,stigma,"A strong feeling of disapproval that most people in a society have about something, especially when this is unfair."
416,consent,Permission or agreement.
417,duress,Threats used to force a person to do something.
418,versed,To know a lot about a particular subject or be experienced in a particular skill.
419,gratuitous,"(of something such as bad behaviour) not necessary, or with no cause."
420,masquerade,Behaviour that is intended to prevent the truth about something unpleasant or not wanted from becoming known.
421,respiration,Breathing.
422,sore,"Painful and uncomfortable because of injury, infection, or too much use."
423,hurdle,A frame or fence for jumping over in a race.
424,cadre,"A small group of trained people who form the basic unit of a military, political, or business organization."
425,cue,A word or action in a play or film that is used as a signal by a performer to begin saying or doing something.
426,bud,"A small protuberance on a stem or branch, sometimes enclosed in protective scales and containing an undeveloped shoot, leaf, or flower."
427,shrivel,"To become dry, smaller, and covered with lines as if by crushing or folding, or to make something do this."
428,displace,To force something or someone out of its usual or original position.
429,susceptible,Easily influenced or harmed by something.
430,thaw,"To (cause to) change from a solid, frozen state to a liquid or soft one, because of an increase in temperature."
431,soak,"To make something very wet, or (of liquid) to be absorbed in large amounts."
432,substantiate,"To show something to be true, or to support a claim with facts."
433,formidable,"Causing you to have fear or respect for something or someone because they are large, powerful, or difficult."
434,coax,"To persuade someone gently to do something or go somewhere, by being kind and patient, or by appearing to be."
435,junction,"A place where things, especially roads or railways, come together."
436,fraction,a small part or amount of something
437,keep tabs,to monitor someone or something; to follow the activities of someone or something.
438,heed,"To pay attention to something, especially advice or a warning."
439,reconnaissance,"The process of getting information about enemy forces or positions by sending out small groups of soldiers or by using aircraft, etc.."
440,conspiracy,The activity of secretly planning with other people to do something bad or illegal.
441,star-struck,"Feeling great or too much respect for famous or important people, especially famous actors or performers."
442,liken,to say that someone or something is similar to someone or something else
443,fatigue,Extreme tiredness.
444,clock up,to reach a particular number or amount
445,altitude,Height above sea level.
446,dub,"To give something or someone a particular name, especially describing what you think of them."
447,overt,Done or shown publicly or in an obvious way and not secret.
448,alike,"in the same or a similar manner, way, or degree"
449,deceptive,Making you believe something that is not true.
450,alienate,To cause someone or a group of people to stop supporting and agreeing with you.
451,placate,To stop someone from feeling angry.
452,unearth,"to discover something or someone that was not known before or that people had kept secret, especially by searching very thoroughly"
453,pyre,A large pile of wood on which a dead body is burned in some parts of the world.
454,breach,"An act of breaking a law, promise, agreement, or relationship."
455,scrupulous,Extremely honest .
456,evaporate,"To cause a liquid to change to a gas, especially by heating."
457,overnight,For or during the night.
458,deduct,To take away an amount or part from a total.
459,solace,Help and comfort when you are feeling sad or worried.
460,stumble,To step awkwardly while walking or running and fall or begin to fall.
461,gill,The organ through which fish and other water creatures breathe.
462,mesh,"(a piece of) material like a net with spaces in it, made from wire, plastic, or thread."
463,sieve,"A tool consisting of a wood, plastic, or metal frame with a wire or plastic net fixed to it. You use it either to separate solids from a liquid, or you rub larger solids through it to make them smaller."
464,congregate,To come together in a large group of people or animals.
465,boon,Something that is very helpful and improves the quality of life.
466,gestation,(the period of) the development of a child or young animal while it is still inside its mother's body.
467,snorkel,A tube that you hold in your mouth to help you breathe if you are swimming with your face underwater.
468,single file,A way of walking with one person behind another.
469,sparse,"Small in numbers or amount, often spread over a large area."
470,spiny,"Covered with spines (= long, sharp points like needles."
471,turquoise,A bluish-green semi-precious stone that is often used in jewellery.
472,lob,To throw something so that it goes high in the air in a curve.
473,briefing,"Information that is given to someone just before they do something, or a meeting where this happens."
474,docile,"Quiet and easy to influence, persuade, or control."
475,terrace,A flat raised area.
476,glitter,To produce a lot of small bright flashes of reflected light.
477,inland,"In the middle of a country, away from the sea."
478,flora,All the plants of a particular place or from a particular time in history.
479,don,to put on a piece of clothing
480,boulder,A very large rock.
481,abseil,To go down a very steep slope by holding on to a rope that is fastened to the top of the slope.
482,gaze,"To look at something or someone for a long time, especially in surprise or admiration, or because you are thinking about something else."
483,opt,"To make a choice, especially of one thing or possibility instead of others."
484,longevity,Living for a long time.
485,observatory,"A building from which scientists can watch the planets, the stars, the weather, etc."
486,telltale,___ signs of something are obvious signs that it exists or it has happened
487,abatement,a reduction in something harmful or unpleasant
488,anthology,"A collection of artistic works that have a similar form or subject, often those considered to be the best."
489,compartment,"One of the separate areas inside a vehicle, especially a train."
490,incessant,"Never stopping, especially in an annoying or unpleasant way."
491,muffle,To make a sound quieter and less clear.
492,nozzle,A narrow piece fixed to the end of a tube so that the liquid or air that comes out can be directed in a particular way.
493,prop,"To support something physically, often by leaning it against something else or putting something under it."
494,qualm,An uncomfortable feeling when you doubt if you are doing the right thing.
495,suede,Leather that is slightly rough to touch and is not shiny.
496,tinnitus,A condition of the ear in which the person suffering from it hears noises such as ringing.
497,whirr,"(especially of machines) to make a low, soft, continuous sound."
498,whizz,To move or do something very fast.
499,buyout,(in business) a situation in which a person or group buys all the shares belonging to a company and so gets control of it.
500,calamity,A serious accident or bad event causing damage or suffering.
501,clobber,To hit someone or something hard and repeatedly.
502,covet,"To want to have something very much, especially something that belongs to someone else."
503,dabble,"To take a slight and not very serious interest in a subject, or try a particular activity for a short period."
504,hands-on,Someone with a hands-on way of doing things becomes closely involved in managing and organizing things and in making decisions.
505,jut,"To (cause to) stick out, especially above or past the edge or surface of something."
506,wreak,To cause something to happen in a violent and often uncontrolled way.
507,peninsula,A long piece of land that sticks out from a larger area of land into the sea or into a lake.
508,acquaintance,A person that you have met but do not know well.
509,axle,a metal bar that connects a pair of wheels on a car or other vehicle
510,connotation,"an additional idea or emotion that a word suggests to you, that is not part of its usual meaning"
511,detract,"to make something seem less good, attractive, or important"
512,face value,"The value or price that is shown on, for example, stamps, coins, or paper money."
513,hesitant,"doing something slowly or pausing before you do it, because you are nervous, embarrassed, or worried"
514,offload,To get rid of something that you do not want by giving it to someone else.
515,prune,"To cut off branches from a tree, bush, or plant, especially so that it will grow better in future."
516,stint,A fixed or limited period of time spent doing a particular job or activity.
517,vague,"Not clearly expressed, known, described, or decided."
518,anaesthetic,A substance that makes you unable to feel pain.
519,bout,A short period of illness or involvement in an activity.
520,clog,To (cause something to) become blocked or filled so that movement or activity is difficult.
521,gulp,to swallow food or drink quickly in a way that shows you are very hungry
522,hiccup,"a short repeated sound that you make in your throat without intending to, usually because you have been eating or drinking too quickly"
523,hog,"A pig, especially one that is allowed to grow large so that it can be eaten."
524,spasm,An occasion when a muscle suddenly becomes tighter in a way that cannot be controlled.
525,broach,To begin a discussion of something difficult.
526,extrovert,An energetic happy person who enjoys being with other people.
527,induce,"To persuade someone to do something; to cause something, especially a mental or physical change"
528,recline,To lean or lie back with the upper part of your body in a nearly horizontal position.
529,on the brink of something,The point where a new or different situation is about to begin.
530,infiltrate,To secretly become part of a group in order to get information or to influence the way that group thinks or behaves.
531,maxim,"A short statement of a general truth, principle, or rule for behaviour."
532,wretched,"Unhappy, unpleasant, or of low quality."
533,intractable,"Very difficult or impossible to control, manage, or solve."
534,cope,To deal successfully with a difficult situation.
535,proverb,"A short sentence, etc., usually known by many people, stating something commonly experienced or giving advice."
536,definitive,better than all others; Not able to be changed or improved.
537,backdrop,the background to any scene or situation
538,beck,a small stream
539,billboard,"A panel for the display of advertisements in public places, such as alongside highways or on the sides of buildings."
540,breakaway,"An act of separating from a group, especially because of disagreement."
541,burgeon,To develop or grow quickly.
542,clutter,(a lot of objects in) a state of being untidy.
543,commend,To formally praise someone or something.
544,depose,To remove someone important from a powerful position.
545,downsize,to make a company or organization smaller by reducing the number of workers
546,draught,"A gulp, swallow, or inhalation."
547,entail,"To make something necessary, or to involve something."
548,exert,"To use something such as authority, power, influence, etc. in order to make something happen."
549,fathom,To penetrate to the meaning or nature of; comprehend.
550,fortitude,Courage over a long period.
551,fritter,To reduce or squander little by little
552,kindred,"A group of related persons, as a clan or tribe."
553,knick-knack,"A small, decorative object, especially in a house."
554,lavish,Large in quantity and expensive or impressive.
555,lure,The quality or power that something or someone has that makes them attractive.
556,mindful,Careful not to forget about something; careful about or conscious of something
557,mindset,A person's way of thinking and their opinions.
558,nominee,someone who has been officially suggested for a job or a prize
559,oust,"To force someone to leave a position of power, job, place, or competition."
560,palate,The sense of taste
561,palpable,"So obvious that it can easily be seen or known, or (of a feeling) so strong that it seems as if it can be touched or physically felt."
562,pare,to reduce the total number or amount of something
563,pinpoint,To find out or say the exact position in space or time of something.
564,porter,"A person whose job is to carry things, especially travellers' bags at railway stations, airports, etc.."
565,proximity,The state of being near in space or time.
566,restraint,the limit or control of the expression of strong emotion or opinion
567,revolt,"If a large number of people revolt, they refuse to be controlled or ruled, and take action against authority, often violent action."
568,standout,An excellent or the best example of something.
569,stark,"Empty, simple, or obvious, especially without decoration or anything that is not necessary."
570,stranglehold,A position of complete control that prevents something from developing.
571,trailblazer,"The first person to do something or go somewhere, who shows that it is also possible for other people."
572,trajectory,The curved path that an object follows after it has been thrown or shot into the air.
573,wrinkle,A small line in the skin caused by old age.
574,interim,Temporary and intended to be used or accepted until something permanent exists.
575,condemn,"To criticize something or someone strongly, usually for moral reasons."
576,annex,"To take possession of an area of land or a country, usually by force or without permission."
577,extradite,To make someone return for trial to another country where they have been accused of doing something illegal.
578,aspiration,Something that you hope to achieve.
579,avert,To prevent something bad from happening.
580,bolster,To support or improve something or make it stronger.
581,catchphrase,a short phrase that many people know because a famous person often says it
582,chipped,With a small piece or pieces broken off.
583,cramped,Not having enough space or time.
584,cranky,strange or unusual; Easily annoyed or upset.
585,dim,Not giving or having much light.
586,dissect,"To cut open something, especially a dead body or a plant, and study its structure."
587,downer,An event or experience that makes you unhappy.
588,erupt,"When a volcano erupts, it explodes and flames and rocks come out of it."
589,forefinger,The finger next to the thumb.
590,glum,"Disappointed or unhappy, and quiet."
591,gruesome,"Extremely unpleasant and shocking, and usually dealing with death or injury."
592,hearten,To make someone feel happier and more positive about a situation.
593,hiatus,"A short pause in which nothing happens or is said, or a space where something is missing."
594,induct,"To introduce someone formally or with a special ceremony to an organization or group, or to beliefs or ideas."
595,lament,To express sadness and feeling sorry about something.
596,morsel,A very small piece of food.
597,nugget,"A small roughly shaped piece, especially of gold."
598,offset,"To balance one influence against an opposing influence, so that there is no great difference as a result."
599,paternal,Of or like a father.
600,perch,To sit on or near the edge of something.
601,pier,a structure built out from the land over water and used for getting on and off boats
602,placid,Having a calm appearance or characteristics.
603,pore over,To read or study carefully and attentively
604,recoup,To get back money that you have spent or lost.
605,respite,A pause or rest from something difficult or unpleasant.
606,scalpel,A very sharp knife that is used for cutting through skin and flesh during an operation.
607,skew,To cause something to be not straight or exact; to twist or distort.
608,spectre,The idea of something unpleasant that might happen in the future.
609,spew,"If something spews liquid or gas, or liquid or gas spews from something, it flows out in large amounts."
610,subliminal,"Not recognized or understood by the conscious mind, but still having an influence on it."
611,titbit,"A small piece of interesting information, or a small dish of pleasant-tasting food."
612,vain,Unsuccessful; of no value.
613,vexation,Worry or anger.
614,ascribe,to believe something is the cause of something else
615,assert,to state firmly that something is true
616,char,To burn and become black or to burn something so that it becomes black.
617,compatriot,A person who comes from the same country.
618,compunction,A slight guilty feeling about something you have done or might do.
619,crouch,to move your body close to the ground by bending your knees and leaning forwards slightly
620,envoy,Someone who is sent as a representative from one government or organization to another.
621,hoist,"To lift something heavy, sometimes using ropes or a machine."
622,incendiary,Designed to cause fires.
623,proactive,Taking action by causing change and not only reacting to change when it happens.
624,instigate,To cause an event or situation to happen by making a set of actions or a formal process begin.
625,iridescent,Showing many bright colours that change with movement.
626,mediate,to try to end a disagreement between two people or groups
627,ominous,Suggesting that something unpleasant is likely to happen.
628,pasture,"land covered with grass where sheep, cows etc are kept"
629,pitch,a flat area of ground for playing particular sports on. The American word is field
630,procession,a line of people or vehicles moving in a slow and formal way as part of an event
631,prolific,Producing a great number or amount of something.
632,shrub,"a low thick bush, especially one that has been planted in a garden"
633,sprout,"To produce leaves, hair, or other new developing parts, or (of leaves, hair, and other developing parts) to begin to grow."
634,voluminous,voluminous clothing has a lot of material in it and is loose on your body
635,flout,"To intentionally not obey a rule, law, or custom."
636,hue,"(a degree of lightness, darkness, strength, etc. of) a colour."
637,abolish,To end an activity or custom officially.
638,archetypal,very typical of a particular type of person or thing
639,artefact,"An object that is made by a person, such as a tool or a decoration, especially one that is of historical interest."
640,bellwether,Someone or something that shows how a situation will develop or change.
641,bilateral,Involving two groups or countries.
642,brazen,"Obvious, without any attempt to be hidden."
643,chequered,Having had both successful and unsuccessful periods in your past.
644,conundrum,A problem that is difficult to deal with.
645,decisive,"Able to make decisions quickly and confidently, or showing this quality."
646,defray,(especially of an organization) to pay the cost of something.
647,delve,"To search, especially as if by digging, in order to find a thing or information."
648,dense,Having parts that are close together so that it is difficult to go or see through.
649,emphatic,Done or said in a strong way and without any doubt.
650,enclave,an area of a country or city where a particular group of people live
651,eradicate,To get rid of something completely or destroy something bad.
652,fetter,To keep someone within limits or stop them making progress.
653,funnel,"a tube that is wide at the top and narrow at the bottom, used for pouring liquid or powder into a container"
654,lancet,a small knife with two sharp edges used by doctors
655,laudable,deserving to be praised or admired
656,laze,"To relax and enjoy yourself, doing very little."
657,seam,a line of stitches that joins two pieces of cloth
658,serendipitous,pleasant and happening by chance
659,showpiece,"An extremely good example of something, which deserves to be admired."
660,smear,To spread a liquid or a thick substance over a surface.
661,tit-for-tat,Actions done intentionally to punish other people because they have done something unpleasant to you.
662,tout,to praise someone or something because you want other people to think they are good or important
663,wharf,An area like a wide wall built near the edge of the sea or a river where ships can be tied and goods can be taken off them.
664,scrutiny,The careful and detailed examination of something in order to get information about it.
665,abhor,"To hate a way of behaving or thinking, often because you think it is not moral."
666,abiding,"an abiding feeling, interest, or belief is one that you have had for a long time and that is not likely to change"
667,abject,"The state of being extremely unhappy, poor, unsuccessful, etc.."
668,accumulate,To collect a large number of things over a long period of time.
669,beleaguered,Having a lot of problems or difficulties.
670,blue-collar,Describes people who do work needing strength or physical skill rather than office work.
671,confine,"To limit an activity, person, or problem in some way."
672,defiance,Behaviour in which you refuse to obey someone or something.
673,dubious,Thought not to be completely true or not able to be trusted.
674,electorate,All the people who are allowed to vote.
